new_name,2021,2022,2023
respondent_id,x,x,x
collector_id,x,x,x
start_date,x,x,x
end_date,x,x,x
ip_address,x,x,x
email_address,x,x,x
first_name,x,x,x
last_name,x,x,x
custom_data_1,x,x,x
how_often_use_R,x,x,x
how_often_use_Excel,x,x,x
how_often_use_GoogleSheets,x,x,x
how_often_use_SAS,x,x,x
how_often_use_Python,x,x,x
how_often_use_Tableau,x,x,x
how_often_use_MATLAB,x,NA,NA
how_often_use_PowerBI,x,x,x
how_often_use_SQL,x,x,x
how_proficient_R,x,x,x
how_proficient_Excel,x,x,x
how_proficient_GoogleSheets,x,x,x
how_proficient_SAS,x,x,x
how_proficient_Python,x,x,x
how_proficient_Tableau,x,x,x
how_proficient_MATLAB,x,NA,NA
how_proficient_PowerBI,x,x,x
how_proficient_SQL,x,x,x
suited_ratemaking_R,x,x,x
suited_reserving_R,x,x,x
suited_capital_modeling_R,x,x,x
suited_ratemaking_Excel,x,x,x
suited_reserving_Excel,x,x,x
suited_capital_modeling_Excel,x,x,x
suited_ratemaking_GoogleSheets,x,x,x
suited_reserving_GoogleSheets,x,x,x
suited_capital_modeling_GoogleSheets,x,x,x
suited_ratemaking_SAS,x,x,x
suited_reserving_SAS,x,x,x
suited_capital_modeling_SAS,x,x,x
suited_ratemaking_Python,x,x,x
suited_reserving_Python,x,x,x
suited_capital_modeling_Python,x,x,x
suited_ratemaking_Tableau,x,x,x
suited_reserving_Tableau,x,x,x
suited_capital_modeling_Tableau,x,x,x
suited_ratemaking_MATLAB,x,NA,NA
suited_reserving_MATLAB,x,NA,NA
suited_capital_modeling_MATLAB,x,NA,NA
suited_ratemaking_PowerBI,x,x,x
suited_reserving_PowerBI,x,x,x
suited_capital_modeling_PowerBI,x,x,x
suited_ratemaking_SQL,x,x,x
suited_reserving_SQL,x,x,x
suited_capital_modeling_SQL,x,x,x
what_other_tools_should_be_added,x,x,x
increase_proficiency_R,x,x,x
increase_proficiency_Excel,x,x,x
increase_proficiency_GoogleSheets,x,x,x
increase_proficiency_SAS,x,x,x
increase_proficiency_Python,x,x,x
increase_proficiency_Tableau,x,x,x
increase_proficiency_MATLAB,x,NA,NA
increase_proficiency_PowerBI,x,x,x
increase_proficiency_SQL,x,x,x
increase_proficiency_other,x,x,x
barrier_learning_inadequate_staff,x,x,x
barrier_learning_lack_of_management_support,x,x,x
barrier_learning_lack_of_it_support,x,x,x
barrier_learning_financial_cost,x,x,x
barrier_learning_not_enough_time,x,x,x
barrier_learning_no_perceived_benefit,x,x,x
barrier_learning_other,x,x,x
barrier_implementation_inadequate_staff,x,x,x
barrier_implementation_lack_of_management_support,x,x,x
barrier_implementation_lack_of_it_support,x,x,x
barrier_implementation_financial_cost,x,x,x
barrier_implementation_not_enough_time,x,x,x
barrier_implementation_no_perceived_benefit,x,x,x
barrier_implementation_other,x,x,x
technique_use_linear_models,x,x,x
technique_use_credibility,x,x,x
technique_use_premium_adjustment,x,x,x
technique_use_excess_loss_analysis,x,x,x
technique_use_bayesian,x,x,x
technique_use_bornhuetter_ferguson,x,x,NA
technique_use_time_series,x,x,x
technique_use_aideep_learning,x,x,x
technique_use_chain_ladder,x,x,NA
technique_use_tree_based_methods,x,x,x
technique_use_unsupervised_learning,x,x,x
technique_use_other,x,x,x
additional_comments,x,x,x
designation,x,x,NA
age,x,x,x
where_are_you_located,x,x,x
located_other,x,x,x
what_type_of_company_do_you_work_for,x,x,x
type_of_company_other,x,x,x
actuaries_at_my_organization,x,x,x
years_of_experience,x,x,x
how_often_use_Other,NA,x,x
how_proficient_Other,NA,x,x
suited_Other,NA,x,NA
barrier_technique_inadequate_staff,NA,x,x
barrier_technique_lack_of_management_support,NA,x,x
barrier_technique_lack_of_it_support,NA,x,x
barrier_technique_financial_cost,NA,x,x
barrier_technique_not_enough_time,NA,x,x
barrier_technique_no_perceived_benefit,NA,x,x
barrier_technique_other,NA,x,x
new_tech_to_adopt,NA,x,x
should_have_asked,NA,x,x
how_often_use_Other_specific,NA,NA,x
how_proficient_Other_specific,NA,NA,x
suited_ratemaking_Other,NA,NA,x
suited_reserving_Other,NA,NA,x
suited_capital_modeling_Other,NA,NA,x
suited_Other_specific,NA,NA,x
learning_plan_self_study,NA,NA,x
learning_plan_online,NA,NA,x
learning_plan_in_person,NA,NA,x
learning_plan_other,NA,NA,x
technique_use_frequency_severity,NA,NA,x
technique_use_triangle_based,NA,NA,x
technique_use_simulation,NA,NA,x
barrier_technique_lack_of_knowledge,NA,NA,x
designation_none,NA,NA,x
designation_acas,NA,NA,x
designation_fcas,NA,NA,x
designation_cspa,NA,NA,x
ok_with_being_contacted,NA,NA,x
